Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Cambronero-Solano, S., Tisseaux-Navarro, A., Vargas-Hernández, J.M., Salazar-Ceciliano, J.P., Benavides-Morera, R., Quesada-ávila, I., Brenes-Rodríguez, C.","57201078643; 57222000741; 56439449900; 57194250380; 57188580725; 57467954700; 57467805900","Hydrographic variability in the Gulf of Papagayo, Costa Rica during 2017-2019 | Variabilidad hidrográfica en el Golfo de Papagayo durante el periodo 2017-2019",2021,"Revista de Biologia Tropical",69,"",,S74,S93,,,10.15517/rbt.v69is2.48308,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85125327612&partnerID=40&md5=6369b9c468ff956ebfb9ac647a484f2c",Article,Final,"",Scopus,2-s2.0-85125327612
"Escoto-Murillo, A., Alfaro, E.J.","57467954600; 13806152600","Analysis of warm and cool events in the Gulf of Papagayo through diving data: A Citizen Science approach | Análisis de eventos fríos y cálidos por medio de datos de buceo: un enfoque de ciencia ciudadana en el Golfo de Papagayo, Costa Rica",2021,"Revista de Biologia Tropical",69,"",,94,104,,1,10.15517/rbt.v69is2.48309,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85125305375&partnerID=40&md5=d32a4b915d5b65700684557f4bf7698d",Article,Final,"",Scopus,2-s2.0-85125305375
"Perng, W., Cantoral, A., Soria-Contreras, D.C., Betanzos-Robledo, L., Kordas, K., Liu, Y., Mora, A.M., Corvalan, C., Pereira, A., Cardoso, M.A., Chavarro, J.E., Breton, C.V., Meeker, J.D., Harley, K.G., Eskenazi, B., Peterson, K.E., Tellez-Rojo, M.M.","55183448400; 57194531871; 56338722100; 57218938179; 57203687777; 57205085339; 51764101500; 23484958300; 57223184613; 35477830600; 12776568000; 57210384450; 7003970613; 7003344120; 7005313147; 7201802959; 57203583920","Exposición a químicos disruptores endócrinos obesogénicos y obesidad en niños y jóvenes de origen latino o hispano en Estados Unidos y Latinoamérica: una perspectiva del curso de la vida",2021,"Obesity Reviews",22,"S5", e13352,,,,,10.1111/obr.13352,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85117958767&partnerID=40&md5=ae137b7ee8f263e2ee0223ecea8a92f4",Article,Final,"",Scopus,2-s2.0-85117958767
"Herrera-Murillo, J., Soto-Murillo, T., Rojas-Marín, J.F., Beita-Guerrero, V.H., Hidalgo-Gutiérrez, M.","36129447700; 57278107000; 36612344900; 55831422800; 57277942300","Water-soluble anions in pm10 samples collected in the metropolitan area of costa rica: Temporal and spatial variations",2021,"Atmosphere",12,"10", 1264,,,,,10.3390/atmos12101264,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85116462294&partnerID=40&md5=3b783094c1aef1c069d4adcfb2329592",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85116462294
"Bolaños-Palmieri, C., Jiménez-Morales, M.F., Rojas-Vargas, J., Arguedas-Camacho, M., Brenes-Peralta, L.","57500136800; 57216707860; 57211251958; 57283928100; 57215779060","Food loss and waste actions: Experiences of the costa rican food loss and waste reduction network",2021,"Foods",10,"10", 2358,,,,1,10.3390/foods10102358,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85116348443&partnerID=40&md5=b35d99809d1b3855d2850394d618b147",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85116348443
"Herrera‐murillo, J., Mora‐campos, D., Salas‐jimenez, P., Hidalgo‐gutierrez, M., Soto‐murillo, T., Vargas‐calderon, J., Villalobos‐villalobos, A., Androvetto‐villalobos, E.","36129447700; 57277285700; 57277942200; 57277942300; 57278107000; 57277120100; 57278272600; 57277774400","Wastewater discharge and reuse regulation in Costa Rica: An opportunity for improvement",2021,"Water (Switzerland)",13,"19", 2631,,,,2,10.3390/w13192631,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85115962331&partnerID=40&md5=00b3ced68f3c53f60eb09b6176e4adc2",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85115962331
"Rojas-Valverde, D., Martínez-Guardado, I., Sánchez-Ureña, B., Timón, R., Scheer, V., Pino-Ortega, J., Olcina, G.","57193240720; 57192813904; 56737120700; 24774139800; 55810450300; 36343991000; 15751462000","Outpatient assessment of mechanical load, heat strain and dehydration as causes of transitional acute kidney injury in endurance trail runners",2021,"International Journal of Environmental Research and Public Health",18,"19", 10217,,,,3,10.3390/ijerph181910217,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85115853455&partnerID=40&md5=f7daff8e8d6fe69339dc1f227b8c1bc0",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85115853455
"Howell, P., Meneses, A., Suárez-Esquivel, M., Chaves, A., Chacón, D., Blanco-Peña, K.","57239355700; 57518309900; 57191821693; 56256455000; 11839773900; 57193401453","Blood parameters of the Eastern Pacific green turtle (Chelonia mydas) foraging in the Golfo Dulce, Costa Rica",2021,"Comparative Clinical Pathology",30,"5",,793,800,,,10.1007/s00580-021-03274-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113928655&partnerID=40&md5=8ca2f2ecc2a1c36fcdf1d9c8a1fc8e9a",Article,Final,"",Scopus,2-s2.0-85113928655
"Oviedo-Bolaños, K., Rodríguez-Rodríguez, J.A., Sancho-Blanco, C., Barquero-Chanto, J.E., Peña-Navarro, N., Escobedo-Bonilla, C.M., Umaña-Castro, R.","57216763141; 56785643000; 57202516227; 57515346000; 57192410446; 8840041200; 56543756500","Molecular identification of Streptococcus sp. and antibiotic resistance genes present in Tilapia farms (Oreochromis niloticus) from the Northern Pacific region, Costa Rica",2021,"Aquaculture International",29,"5",,2337,2355,,1,10.1007/s10499-021-00751-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111270164&partnerID=40&md5=308cbe1cb0b41d05b3bbb9d16ecb44e2",Article,Final,"",Scopus,2-s2.0-85111270164
"Labidi, J., Young, E.D., Fischer, T.P., Barry, P.H., Ballentine, C.J., de Moor, J.M.","56370374400; 35301315500; 7402051549; 35239631700; 7003697315; 8651296800","Recycling of nitrogen and light noble gases in the Central American subduction zone: Constraints from 15N15N",2021,"Earth and Planetary Science Letters",571,"", 117112,,,,2,10.1016/j.epsl.2021.117112,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111228914&partnerID=40&md5=31e72eae5d0edbac9bbee179e53d38c5",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85111228914
"Morrison Vila, L., Ménager, M., Finegan, B., Delgado, D., Casanoves, F., Aguilar Salas, L.Á., Castillo, M., Hernández Sánchez, L.G., Méndez, Y., Sánchez Toruño, H., Solano, G., Zúñiga Mora, P., Ngo Bieng, M.A.","57225104591; 55902020900; 7006935009; 7004964665; 7801411930; 57225096177; 16311628900; 57225100628; 57225092378; 57216799780; 57225096049; 57225104925; 15726059300","Above-ground biomass storage potential in primary rain forests managed for timber production in Costa Rica",2021,"Forest Ecology and Management",497,"", 119462,,,,1,10.1016/j.foreco.2021.119462,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109157058&partnerID=40&md5=03f22a6f788b6ba6c4fc96dd9771090b",Article,Final,"",Scopus,2-s2.0-85109157058
"Mora, A.M., Lewnard, J.A., Kogut, K., Rauch, S.A., Hernandez, S., Wong, M.P., Huen, K., Chang, C., Jewell, N.P., Holland, N., Harris, E., Cuevas, M., Eskenazi, B.","51764101500; 56030679400; 36872883100; 55243460300; 57221673138; 57221672684; 12785910500; 57221678018; 7003984114; 7102605602; 57220877701; 57221674577; 7005313147","Risk Factors Associated with SARS-CoV-2 Infection among Farmworkers in Monterey County, California",2021,"JAMA Network Open",4,"9", e2124116,,,,4,10.1001/jamanetworkopen.2021.24116,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85115294329&partnerID=40&md5=c63ea2eb489cfd3e34761a866cbceb1d",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85115294329
"Jiménez, J.E., Hidalgo-Mora, J.","57102535900; 57270709800","Matelea tarrazuana (Apocynaceae, asclepiadoideae), a new critically endangered ocellate species from central pacific of Costa Rica",2021,"Webbia",76,"2",,213,220,,,10.36253/jopt-10804,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85115639169&partnerID=40&md5=f603a005a1724192c00ada3f3b4296d3",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85115639169
"Masés-García, C.A., Herrera-Fernández, B., Briones-Salas, M.","57190017839; 57214321790; 55989779200","Trends in collapse risk assessments of terrestrial and wetland ecosystems | Tendencias en las evaluaciones de riesgo al colapso de ecosistemas terrestres y humedales",2021,"Madera y Bosques",27,"3", e2732133,,,,,10.21829/myb.2021.2732133,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122918388&partnerID=40&md5=cff871b3ab23856457718047333afda3",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85122918388
"Vanegas, S., Trejos, E.M., Aristizábal, B.H., Pereira, G.M., Hernández, J.M., Murillo, J.H., Ramírez, O., Amato, F., Silva, L.F.O., Rojas, N.Y., Zafra, C., Pachón, J.E.","57207961623; 57220816489; 20336832900; 57197789928; 57248255700; 36129447700; 57205176863; 23979354900; 57192545865; 24339389100; 24402391800; 24338892400","Spatial distribution and chemical composition of road dust in two high-altitude latin american cities",2021,"Atmosphere",12,"9", 1109,,,,,10.3390/atmos12091109,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85114340972&partnerID=40&md5=ec8420c96b84ab3da9fe7ffba369ff32",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85114340972
"Saravia-Arguedas, A.Y., Vega-Bolaños, H., Vargas-Hernández, J.M., Suárez-Serrano, A., Sierra-Sierra, L., Tisseaux-Navarro, A., Cambronero-Solano, S., Lugioyo-Gallardo, G.M.","57240613600; 57240821000; 56439449900; 35192286300; 57240821100; 57222000741; 57201078643; 6603046605","Surface-water quality of the gulf of papagayo, north pacific, costa rica",2021,"Water (Switzerland)",13,"17", 2324,,,,,10.3390/w13172324,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85114038122&partnerID=40&md5=ee402af95d7a902c6413bbfae5ba33f5",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85114038122
"Farnham, A., Fuhrimann, S., Staudacher, P., Quirós‐lépiz, M., Hyland, C., Winkler, M.S., Mora, A.M.","57193638645; 56426280900; 57208225505; 57232159000; 57194059111; 26636058300; 51764101500","Long‐term neurological and psychological distress symptoms among smallholder farmers in costa rica with a history of acute pesticide poisoning",2021,"International Journal of Environmental Research and Public Health",18,"17", 9021,,,,2,10.3390/ijerph18179021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113477367&partnerID=40&md5=4ae5de25814848bb4cb351b8437bab7a",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85113477367
"Meléndez, R., Guzmán, M., Jiménez, C., Piche, M., Jiménez, E., León, B., Cordero, J.M., Ramirez-Carvajal, L., Uribe, A., Van Nes, A., Stegeman, A., Vernooij, H., Romero-Zúñiga, J.J.","7006114563; 57224543215; 57210402191; 57195246890; 57224539498; 57201820060; 57224546355; 55246105500; 57224547669; 6603953910; 7102520947; 23475601200; 35362709300","Seroprevalence of porcine reproductive and respiratory syndrome virus on swine farms in a tropical country of the Middle Americas: the case of Costa Rica",2021,"Tropical Animal Health and Production",53,"4", 441,,,,,10.1007/s11250-021-02799-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112828126&partnerID=40&md5=0936e3547d03cc26ba292504cf0d1655",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85112828126
"Rivera-Pérez, W., Barquero-Calvo, E., Chaves, A.J.","56442692400; 22133768300; 37007599700","Effect of the use of probiotic Bacillus subtilis (QST 713) as a growth promoter in broilers: an alternative to bacitracin methylene disalicylate",2021,"Poultry Science",100,"9", 101372,,,,1,10.1016/j.psj.2021.101372,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111905657&partnerID=40&md5=ce757e8aaf9c911ada56692783bf4f3c",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85111905657
"Castro-Vásquez, R.M., Molina-Bravo, R., Hernández-Villalobos, S., Vargas-Martínez, A., González-Herrera, A., Montero-Astúa, M.","57209104907; 10739798700; 57215184142; 57211915299; 46261095600; 24166636900","Identification and phylogenetic analysis of a collection of Beauveria spp. Isolates from Central America and Puerto Rico",2021,"Journal of Invertebrate Pathology",184,"", 107642,,,,,10.1016/j.jip.2021.107642,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85109079349&partnerID=40&md5=be5137537d75ca8c885655b87ea05395",Article,Final,"",Scopus,2-s2.0-85109079349
"Alfaro-Mora, R., Castro-Vásquez, R., Julia Rodríguez, B., Dolz, G.","57222365946; 57209104907; 57224997878; 6602401375","Papillomavirus Type 2 in an Equine Sarcoid in Costa Rica",2021,"Revista MVZ Cordoba",26,"3", e2040,1,5,,1,10.21897/rmvz.2040,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85108866754&partnerID=40&md5=17812c7a4e52bbafb25039cb6e7db3f9",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85108866754
"Santibáñez, M., Fuentealba, M., Vedelago, J., Chacón, D., Mattea, F., Valente, M.","36603449100; 57210416403; 56378079300; 57189463797; 24512800200; 36462749400","Experimental characterization and Monte Carlo simulations of the dose enhancement on the millimeter scale of PAGAT infused with gadolinium",2021,"Radiation Physics and Chemistry",186,"", 109533,,,,1,10.1016/j.radphyschem.2021.109533,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85105323082&partnerID=40&md5=24e5b619e806ae0a7176e07729248f2b",Article,Final,"",Scopus,2-s2.0-85105323082
"Ramírez-Quesada, M.M., Venegas-Padilla, J., Sibaja-Brenes, J.P., Calderón-Jiménez, B.","57222980442; 57222991407; 55433676300; 57193749708","New advances in the method validation, extraction methods and measurement uncertainty for the determination of water-soluble hexavalent chromium in hydraulic cement",2021,"Talanta",232,"", 122286,,,,2,10.1016/j.talanta.2021.122286,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104308551&partnerID=40&md5=d0d116785efcc544d5d82f7bf36104dd",Article,Final,"",Scopus,2-s2.0-85104308551
"Granero-Gil, P., Bastida-Castillo, A., Rojas-Valverde, D., Gómez-Carmona, C.D., de la Cruz Sánchez, E., Pino-Ortega, J.","57194496762; 57199399804; 57193240720; 57199400943; 35728152600; 36343991000","Accuracy, inter-unit reliability and comparison between GPS and UWB-based tracking systems for measuring centripetal force during curvilinear locomotion",2021,"Proceedings of the Institution of Mechanical Engineers, Part P: Journal of Sports Engineering and Technology",235,"3",,237,248,,3,10.1177/1754337120961601,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092319616&partnerID=40&md5=9413d3e413759c4a13e14907b2f20fa8",Article,Final,"",Scopus,2-s2.0-85092319616
"Hernandez, C.E., Granados, L.","57221673137; 57221700569","Quality differentiation of cocoa beans: implications for geographical indications",2021,"Journal of the Science of Food and Agriculture",101,"10",,3993,4002,,,10.1002/jsfa.11077,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099800608&partnerID=40&md5=3bb04c236fc7badde9ffddd58580696f",Review,Final,"",Scopus,2-s2.0-85099800608
"Thompson, J.J., Morato, R.G., Niebuhr, B.B., Alegre, V.B., Oshima, J.E.F., de Barros, A.E., Paviolo, A., de la Torre, J.A., Lima, F., McBride, R.T., Cunha de Paula, R., Cullen, L., Silveira, L., Kantek, D.L.Z., Ramalho, E.E., Maranhão, L., Haberfeld, M., Sana, D.A., Medellin, R.A., Carrillo, E., Montalvo, V.H., Monroy-Vilchis, O., Cruz, P., Jacomo, A.T.A., Alves, G.B., Cassaigne, I., Thompson, R., Sáenz-Bolaños, C., Cruz, J.C., Alfaro, L.D., Hagnauer, I., Xavier da Silva, M., Vogliotti, A., Moraes, M.F.D., Miyazaki, S.S., Araujo, G.R., Cruz da Silva, L., Leuzinger, L., Carvalho, M.M., Rampim, L., Sartorello, L., Quigley, H., Tortato, F.R., Hoogesteijn, R., Crawshaw, P.G., Devlin, A.L., May Júnior, J.A., Powell, G.V.N., Tobler, M.W., Carrillo-Percastegui, S.E., Payán, E., Azevedo, F.C.C., Concone, H.V.B., Quiroga, V.A., Costa, S.A., Arrabal, J.P., Vanderhoeven, E., Di Blanco, Y.E., Lopes, A.M.C., Ribeiro, M.C.","57209861242; 6507183938; 56717456200; 56416371100; 57214389837; 55975255300; 25230360200; 35078326400; 55828149389; 35868349900; 6506164301; 7006397100; 7004430232; 6505601558; 11439897900; 57035328800; 57192681911; 6507070886; 6604067105; 7103129539; 56094353200; 14034649700; 56293099300; 35474891500; 57202395348; 55293737200; 55921116000; 57196442054; 57146323100; 57147507300; 57192098092; 57195505001; 14122649800; 57197591689; 57192680842; 57196860116; 57226554648; 57193615938; 57192678915; 57192677061; 57192684970; 7101919249; 37073457800; 57193972867; 6601937160; 57191489471; 26531454400; 7202975836; 56189702300; 24337322000; 54937219300; 7004571882; 36650309200; 55967751700; 57193915928; 56412930800; 57200551470; 24170743400; 57202761604; 26321928900","Environmental and anthropogenic factors synergistically affect space use of jaguars",2021,"Current Biology",31,"15",,3457,3466.e4,,5,10.1016/j.cub.2021.06.029,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111906038&partnerID=40&md5=0109010a8dda83c7184a7697178dc867",Article,Final,"",Scopus,2-s2.0-85111906038
"Rojas-Valverde, D.","57193240720","Potential Role of Cannabidiol on Sports Recovery: A Narrative Review",2021,"Frontiers in Physiology",12,"", 722550,,,,2,10.3389/fphys.2021.722550,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113184468&partnerID=40&md5=36cec9c401b0c24f5610b364179a46e0",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85113184468
"Valenciano-Salazar, J.A., André, F.J., Soliño, M.","57214668975; 7102504410; 25629068500","Paying for sustainable coffee in a developing country: Consumers’ profile in Costa Rica",2021,"Sustainability (Switzerland)",13,"16", 9360,,,,,10.3390/su13169360,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113380357&partnerID=40&md5=8477b03dbcbc14a6709ebe6969b1ec9a",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85113380357
"Mora, N.E., Orrego, C.M., Alfaro Alvarado, L.D.","57414880100; 57520433700; 56205442400","Estimate of the maximum area and number of tourists observing turtle nesting in marine protected areas | Estimación del área y el número máximo de turistas para observar la anidación de tortugas marinas protegidas",2021,"Ecologia Austral",31,"2",,289,300,,,10.25260/EA.21.31.2.0.1133,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85122916698&partnerID=40&md5=c7185bae2bbe7bcfc40a0ce20c7b1d0c",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85122916698
"Cariño-Olvera, M.M., Zarrilli, A.G., Umaña, W.P., Santos, A.O., Miraglia, M., Dutra e Silva, S.","55746127600; 35096840800; 55151143000; 22635223900; 57189619310; 57221687573","Applied environmental history for social resilience in times of collapse and socio-ecological transitions | Historia Ambiental Aplicada para la Resiliencia Social en Tiempos de Colapso y de Transiciones Socio Ecológicas",2021,"Historia Ambiental Latinoamericana y Caribena",11,"2",,12,18,,,10.32991/2237-2717.2021V11I2.P12-18,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85114084470&partnerID=40&md5=230f9417af41ef521bf845061ceb2c7c",Editorial,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85114084470
"Umaña, W.P., Chaves, C.C.","55151143000; 57239851600","Incendiarism and pyroculture in Costa Rica's tropical dry forest. Fire history as applied history | Incendiarismo y Pirocultura en el Bosque Tropical Seco de Costa Rica. La Historia del Fuego como Historia Aplicada",2021,"Historia Ambiental Latinoamericana y Caribena",11,"2",,173,213,,,10.32991/2237-2717.2021V11I2.P173-213,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85114006246&partnerID=40&md5=24388b73ec87fc56d36406749c140d59",Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85114006246
"Hassler, K.N., Waggy, C.D., Manuel Spínola, R., Oxenrider, K.J., Rogers, R.E., Pearce, K.J., Serfass, T.L.","57200439282; 57193626357; 57226854529; 57219339491; 57189854553; 57193343243; 35612478800","Den-Site Selection by Eastern Spotted Skunks in the Central Appalachian Mountains of West Virginia",2021,"Southeastern Naturalist",20,"sp11",,209,224,,2,10.1656/058.020.0sp1118,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113174091&partnerID=40&md5=2a1fffea6b5980e2b4364af74e1ba875",Article,Final,"",Scopus,2-s2.0-85113174091
"Castillo-Zeledón, A., Ruiz-Villalobos, N., Altamirano-Silva, P., Chacón-Díaz, C., Barquero-Calvo, E., Chaves-Olarte, E., Guzmán-Verri, C.","57191833755; 56389575900; 36812835200; 23569410500; 22133768300; 6602745898; 6602305272","A Sinorhizobium meliloti and Agrobacterium tumefaciens ExoR ortholog is not crucial for Brucella abortus virulence",2021,"PLoS ONE",16,"8 August", e0254568,,,,,10.1371/journal.pone.0254568,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112777903&partnerID=40&md5=c688db9d0fa59be40ce4ad6a1c32fd01",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85112777903
"Alvarez, C., Soto, C., Cabezas, S., Alvarado-Mesén, J., Laborde, R., Pazos, F., Ros, U., Hernández, A.M., Lanio, M.E.","7202925378; 12792195200; 56719566300; 56730996100; 56299534300; 7004152529; 12806534500; 16150210500; 6603779324","Panorama of the intracellular molecular concert orchestrated by actinoporins, pore-forming toxins from sea anemones",2021,"Toxins",13,"8", 567,,,,,10.3390/toxins13080567,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112762732&partnerID=40&md5=e9056ce30d01496321e5754b303b1dbe",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85112762732
